transaction_id,amount,customer_age,merchant_category,transaction_type,merchant_code
synthetic_48,2277.63343,78.35979,Grocery,ATM Withdrawal,101
synthetic_49,1242.15237,56.82965,Grocery,ATM Withdrawal,101
synthetic_50,3233.97481,33.59892,Entertainment,Online,109
synthetic_51,4378.8244,26.54349,Gas Station,Contactless,107
synthetic_52,4620.20087,24.78244,Gas Station,Online,107
synthetic_53,3113.20658,80.45879,Coffee Shop,ATM Withdrawal,105
synthetic_54,2448.87353,79.16493,Entertainment,Card Present,109
synthetic_55,4104.5453,56.12014,Coffee Shop,ATM Withdrawal,105
synthetic_56,2338.91334,56.45099,Grocery,ATM Withdrawal,101
synthetic_57,2395.78437,83.86585,Grocery,ATM Withdrawal,101
synthetic_58,2277.33336,26.63178,Entertainment,ATM Withdrawal,109
synthetic_59,2502.87629,22.96078,Restaurant,Online,103
synthetic_60,1010.73424,20.90392,Coffee Shop,Online,105
synthetic_61,810.05734,58.16745,Travel,Online,104
synthetic_62,4036.86247,41.84847,Coffee Shop,Card Present,105
synthetic_63,1350.21998,28.25716,Grocery,Contactless,101
synthetic_64,2298.73811,22.57015,Coffee Shop,ATM Withdrawal,105
synthetic_65,4324.03133,41.69478,Entertainment,Online,109
synthetic_66,4526.86824,49.10408,Grocery,Online,101
synthetic_67,1113.84912,23.74514,Coffee Shop,ATM Withdrawal,105
synthetic_68,4203.03346,37.24017,Coffee Shop,Contactless,105
synthetic_69,3305.60807,72.34404,Grocery,Online,101
synthetic_70,1085.63759,64.0906,Coffee Shop,ATM Withdrawal,105
synthetic_71,2813.47317,80.91286,Grocery,Card Present,101
synthetic_72,1441.35089,35.10877,Coffee Shop,ATM Withdrawal,105
synthetic_73,1530.83897,28.23795,Online Retail,ATM Withdrawal,106
synthetic_74,4658.32346,53.3646,Grocery,ATM Withdrawal,101
synthetic_75,4263.76104,22.82988,Grocery,ATM Withdrawal,101
synthetic_76,2225.26533,20.73111,Coffee Shop,ATM Withdrawal,105
synthetic_77,3033.74306,35.15222,Coffee Shop,Contactless,105
synthetic_78,2802.67977,74.03702,Coffee Shop,Card Present,105
synthetic_79,2322.3887,73.35537,Coffee Shop,ATM Withdrawal,105
synthetic_80,2715.01834,64.8229,Pharmacy,ATM Withdrawal,108
synthetic_81,951.40939,50.326,Restaurant,Online,103
synthetic_82,2377.66902,22.42022,Electronics,ATM Withdrawal,102
synthetic_83,1444.43058,73.4054,Coffee Shop,ATM Withdrawal,105
synthetic_84,2908.93777,40.16591,Grocery,ATM Withdrawal,101
synthetic_85,2372.3906,21.83296,Travel,ATM Withdrawal,104
synthetic_86,3810.6694,35.93812,Grocery,ATM Withdrawal,101
synthetic_87,2294.41655,21.92689,Coffee Shop,Contactless,105
synthetic_88,3365.86457,76.8691,Home Improvement,ATM Withdrawal,110
synthetic_89,4699.83131,82.01074,Coffee Shop,ATM Withdrawal,105
synthetic_90,3007.09217,54.85857,Coffee Shop,ATM Withdrawal,105
synthetic_91,2591.51219,49.10608,Coffee Shop,ATM Withdrawal,105
synthetic_92,1814.83889,51.20773,Grocery,ATM Withdrawal,101
synthetic_93,184.01753,47.252,Electronics,ATM Withdrawal,102
synthetic_94,1522.64322,54.38925,Coffee Shop,Contactless,105
synthetic_95,2530.08287,63.8797,Travel,ATM Withdrawal,104
synthetic_96,878.38391,74.91809,Entertainment,ATM Withdrawal,109
synthetic_97,910.58593,24.45337,Home Improvement,Contactless,110
synthetic_98,3770.52284,62.64118,Coffee Shop,ATM Withdrawal,105
synthetic_99,845.93325,54.91683,Restaurant,ATM Withdrawal,103
synthetic_100,2575.42677,81.796,Coffee Shop,ATM Withdrawal,105
synthetic_101,535.32819,19.02772,Coffee Shop,ATM Withdrawal,105
synthetic_102,3799.11077,27.93725,Pharmacy,ATM Withdrawal,108
synthetic_103,555.87484,56.75174,Grocery,ATM Withdrawal,101
synthetic_104,833.8409,74.24765,Coffee Shop,ATM Withdrawal,105
synthetic_105,615.21226,57.69219,Coffee Shop,ATM Withdrawal,105
synthetic_106,1935.97331,23.76276,Gas Station,ATM Withdrawal,107
synthetic_107,4636.09167,20.1401,Coffee Shop,ATM Withdrawal,105
synthetic_108,216.335,24.46948,Travel,ATM Withdrawal,104
synthetic_109,1074.95203,28.11155,Travel,Online,104
synthetic_110,4429.51454,82.51967,Coffee Shop,ATM Withdrawal,105
synthetic_111,1108.38629,78.93675,Coffee Shop,Online,105
synthetic_112,583.16032,33.67665,Grocery,ATM Withdrawal,101
synthetic_113,628.99681,21.96245,Restaurant,ATM Withdrawal,103
synthetic_114,417.23934,61.85084,Coffee Shop,ATM Withdrawal,105
synthetic_115,4144.50707,67.3427,Travel,Online,104
synthetic_116,925.97429,22.57239,Pharmacy,Contactless,108
synthetic_117,971.28388,63.49038,Entertainment,Online,109
synthetic_118,3228.77284,27.38876,Coffee Shop,Contactless,105
synthetic_119,63.76419,25.21576,Coffee Shop,Card Present,105
synthetic_120,3074.42872,50.19162,Coffee Shop,ATM Withdrawal,105
synthetic_121,251.48395,50.4744,Gas Station,ATM Withdrawal,107
synthetic_122,647.74718,70.58695,Restaurant,ATM Withdrawal,103
synthetic_123,4420.13841,32.85338,Grocery,Card Present,101
synthetic_124,4402.84677,28.63803,Coffee Shop,Contactless,105
synthetic_125,1592.94655,67.58902,Travel,Card Present,104
synthetic_126,807.91783,61.6172,Grocery,Card Present,101
synthetic_127,4373.01187,43.77467,Coffee Shop,Contactless,105
synthetic_128,4338.6071,22.44659,Restaurant,ATM Withdrawal,103
synthetic_129,1.02994,34.00873,Coffee Shop,ATM Withdrawal,105
synthetic_130,3119.94752,57.89491,Coffee Shop,ATM Withdrawal,105
synthetic_131,2542.06306,38.27699,Entertainment,Contactless,109
synthetic_132,2986.84508,26.80639,Pharmacy,Online,108
synthetic_133,2427.45453,31.26248,Coffee Shop,ATM Withdrawal,105
synthetic_134,1400.06212,84.88019,Coffee Shop,Card Present,105
synthetic_135,536.68836,48.20004,Entertainment,Online,109
synthetic_136,222.48852,78.17799,Home Improvement,ATM Withdrawal,110
synthetic_137,3522.84716,32.44282,Grocery,Card Present,101
synthetic_138,3064.09802,27.92739,Coffee Shop,Contactless,105
synthetic_139,1073.38044,36.86419,Coffee Shop,ATM Withdrawal,105
synthetic_140,4277.71135,53.07254,Coffee Shop,Card Present,105
synthetic_141,1534.69171,37.37004,Grocery,ATM Withdrawal,101
synthetic_142,1961.85611,76.29492,Coffee Shop,ATM Withdrawal,105
synthetic_143,32.39422,51.6564,Grocery,ATM Withdrawal,101
synthetic_144,2183.46279,31.26302,Coffee Shop,Contactless,105
synthetic_145,609.94439,40.22855,Home Improvement,ATM Withdrawal,110
synthetic_146,876.19512,58.51724,Grocery,ATM Withdrawal,101
synthetic_147,4413.76451,49.24439,Coffee Shop,ATM Withdrawal,105
synthetic_148,184.22481,44.99615,Pharmacy,ATM Withdrawal,108
synthetic_149,2343.27154,61.61593,Coffee Shop,ATM Withdrawal,105
synthetic_150,2997.06481,49.52232,Entertainment,ATM Withdrawal,109
synthetic_151,3243.12557,22.98536,Electronics,Contactless,102
synthetic_152,4113.37385,61.51407,Coffee Shop,Card Present,105
synthetic_153,4579.57332,22.63233,Coffee Shop,Online,105
synthetic_154,4533.74699,46.82948,Coffee Shop,Online,105
synthetic_155,2702.26725,60.4454,Travel,Card Present,104
synthetic_156,4579.44133,79.54576,Coffee Shop,ATM Withdrawal,105
synthetic_157,2464.97467,20.40939,Coffee Shop,Card Present,105
synthetic_158,2185.41817,26.0316,Entertainment,Contactless,109
synthetic_159,1457.78101,47.77693,Coffee Shop,ATM Withdrawal,105
synthetic_160,242.81995,59.24797,Pharmacy,ATM Withdrawal,108
synthetic_161,1987.87106,39.5696,Online Retail,ATM Withdrawal,106
synthetic_162,1387.59364,42.24538,Coffee Shop,ATM Withdrawal,105
synthetic_163,2772.80817,79.27129,Entertainment,ATM Withdrawal,109
synthetic_164,4112.76562,57.04248,Online Retail,ATM Withdrawal,106
synthetic_165,3552.84101,25.7557,Gas Station,Contactless,107
synthetic_166,4380.35825,61.03809,Online Retail,ATM Withdrawal,106
synthetic_167,2826.41918,68.69692,Coffee Shop,Card Present,105
synthetic_168,4481.35672,79.90669,Gas Station,ATM Withdrawal,107
synthetic_169,1413.76267,36.64123,Grocery,ATM Withdrawal,101
synthetic_170,682.86357,64.31151,Entertainment,Card Present,109
synthetic_171,1152.40032,77.90507,Coffee Shop,ATM Withdrawal,105
synthetic_172,2731.68909,28.62705,Grocery,ATM Withdrawal,101
synthetic_173,552.63999,34.95047,Electronics,ATM Withdrawal,102
synthetic_174,2536.48974,77.70423,Entertainment,Online,109
synthetic_175,1748.74488,39.91102,Electronics,Online,102
synthetic_176,975.54342,29.44493,Entertainment,Contactless,109
synthetic_177,3070.067,39.54037,Grocery,Contactless,101
synthetic_178,1688.42954,80.55255,Travel,ATM Withdrawal,104
synthetic_179,4373.93783,79.14855,Online Retail,ATM Withdrawal,106
synthetic_180,3363.2035,62.44245,Coffee Shop,Card Present,105
synthetic_181,4304.84744,34.62517,Electronics,Online,102
synthetic_182,1269.12994,72.29328,Coffee Shop,ATM Withdrawal,105
synthetic_183,2331.90973,83.0219,Entertainment,Contactless,109
synthetic_184,890.14697,32.18107,Coffee Shop,ATM Withdrawal,105
synthetic_185,289.58517,40.34164,Pharmacy,Online,108
synthetic_186,3509.36673,18.0,Grocery,ATM Withdrawal,101
synthetic_187,1130.13114,80.15819,Coffee Shop,ATM Withdrawal,105
synthetic_188,2956.84924,25.66746,Travel,ATM Withdrawal,104
synthetic_189,27.84624,35.21252,Coffee Shop,ATM Withdrawal,105
synthetic_190,1052.80717,31.82908,Gas Station,Online,107
synthetic_191,2580.44225,26.86701,Coffee Shop,Card Present,105
synthetic_192,4150.39059,50.38923,Entertainment,ATM Withdrawal,109
synthetic_193,242.84769,52.41201,Entertainment,ATM Withdrawal,109
synthetic_194,4171.28873,29.80422,Pharmacy,Card Present,108
synthetic_195,1211.0574,45.41364,Coffee Shop,Online,105
synthetic_196,2017.99061,74.11199,Grocery,Card Present,101
synthetic_197,1252.2906,37.7674,Entertainment,Card Present,109
synthetic_198,1089.6124,77.15704,Entertainment,Online,109
synthetic_199,3029.76734,68.0981,Pharmacy,Card Present,108
synthetic_200,1061.60798,52.4529,Coffee Shop,ATM Withdrawal,105
synthetic_201,2878.56549,58.61906,Coffee Shop,ATM Withdrawal,105
synthetic_202,3339.76179,37.35583,Travel,ATM Withdrawal,104
synthetic_203,853.70212,51.70646,Coffee Shop,ATM Withdrawal,105
synthetic_204,2239.34174,56.19593,Coffee Shop,ATM Withdrawal,105
synthetic_205,4012.52443,19.17868,Coffee Shop,ATM Withdrawal,105
synthetic_206,2678.33928,22.68649,Electronics,Contactless,102
synthetic_207,4045.92673,20.59905,Grocery,Card Present,101
synthetic_208,4552.76736,69.09604,Online Retail,ATM Withdrawal,106
synthetic_209,3219.52801,22.95107,Coffee Shop,ATM Withdrawal,105
synthetic_210,1632.00664,58.85633,Entertainment,Online,109
synthetic_211,4187.98058,69.82997,Gas Station,Contactless,107
synthetic_212,3174.37927,20.19928,Coffee Shop,ATM Withdrawal,105
synthetic_213,2056.88154,61.78698,Coffee Shop,ATM Withdrawal,105
synthetic_214,2919.16194,63.99952,Travel,Online,104
synthetic_215,4390.59866,20.87055,Coffee Shop,ATM Withdrawal,105
synthetic_216,3316.78548,37.41451,Electronics,ATM Withdrawal,102
synthetic_217,295.36823,38.89516,Coffee Shop,ATM Withdrawal,105
synthetic_218,3533.59165,20.90862,Entertainment,Card Present,109
synthetic_219,1082.08923,45.66801,Coffee Shop,ATM Withdrawal,105
synthetic_220,4477.29601,21.63553,Grocery,ATM Withdrawal,101
synthetic_221,1308.18452,21.52595,Coffee Shop,ATM Withdrawal,105
synthetic_222,4311.00837,38.07425,Coffee Shop,Card Present,105
synthetic_223,2507.75217,77.42774,Online Retail,Card Present,106
synthetic_224,3171.45487,33.20879,Entertainment,ATM Withdrawal,109
synthetic_225,776.82941,49.85675,Grocery,Contactless,101
synthetic_226,1315.02476,61.37082,Gas Station,ATM Withdrawal,107
synthetic_227,4620.57908,50.25024,Coffee Shop,ATM Withdrawal,105
synthetic_228,3687.30915,48.2108,Entertainment,ATM Withdrawal,109
synthetic_229,2478.34881,80.36299,Gas Station,Contactless,107
synthetic_230,394.03438,69.82073,Entertainment,ATM Withdrawal,109
synthetic_231,2152.58039,43.99291,Gas Station,Contactless,107
synthetic_232,2565.82727,78.28306,Entertainment,ATM Withdrawal,109
synthetic_233,1030.19373,44.86774,Pharmacy,Online,108
synthetic_234,4425.61959,77.77143,Coffee Shop,Card Present,105
synthetic_235,4083.27946,75.3458,Coffee Shop,ATM Withdrawal,105
synthetic_236,382.10572,47.22494,Pharmacy,Contactless,108
synthetic_237,1572.50949,50.82299,Restaurant,ATM Withdrawal,103
synthetic_238,242.53444,19.49867,Gas Station,Card Present,107
synthetic_239,2691.94732,82.08879,Travel,Card Present,104
synthetic_240,842.12755,68.22206,Online Retail,ATM Withdrawal,106
synthetic_241,546.42892,39.38501,Coffee Shop,Online,105
synthetic_242,1230.29496,65.58111,Electronics,ATM Withdrawal,102
synthetic_243,2680.10122,32.09862,Travel,ATM Withdrawal,104
synthetic_244,1.02994,45.09889,Coffee Shop,ATM Withdrawal,105
synthetic_245,3697.60883,30.84248,Grocery,ATM Withdrawal,101
synthetic_246,4320.50288,50.4224,Coffee Shop,Card Present,105
synthetic_247,729.2187,35.39922,Coffee Shop,ATM Withdrawal,105
synthetic_248,4157.62773,46.42389,Coffee Shop,ATM Withdrawal,105
synthetic_249,3232.35825,59.72829,Entertainment,Online,109
synthetic_250,474.20551,50.91244,Coffee Shop,Card Present,105
synthetic_251,643.4978,81.81402,Coffee Shop,ATM Withdrawal,105
synthetic_252,1282.94352,82.68468,Coffee Shop,Card Present,105
synthetic_253,2415.56714,24.67533,Pharmacy,ATM Withdrawal,108
synthetic_254,3918.20484,40.61517,Coffee Shop,ATM Withdrawal,105
synthetic_255,2783.84725,71.04406,Coffee Shop,Contactless,105
synthetic_256,599.6435,48.43099,Coffee Shop,Card Present,105
