transaction_id,amount,merchant_category,is_fraud
synthetic_152,4067.91547,Restaurant,0
synthetic_153,3290.53553,Coffee Shop,0
synthetic_154,4140.87146,Entertainment,1
synthetic_155,4365.27501,Gas Station,0
synthetic_156,1865.03661,Restaurant,0
synthetic_157,3995.46023,Coffee Shop,0
synthetic_158,3709.62889,Travel,0
synthetic_159,4713.97373,Electronics,0
synthetic_160,4615.7294,Coffee Shop,0
synthetic_161,3517.32822,Restaurant,0
synthetic_162,939.118,Coffee Shop,0
synthetic_163,4296.0689,Online Retail,0
synthetic_164,4785.95843,Home Improvement,0
synthetic_165,677.57154,Coffee Shop,0
synthetic_166,4478.51848,Coffee Shop,0
synthetic_167,1109.91722,Entertainment,1
synthetic_168,3639.15669,Home Improvement,0
synthetic_169,4165.34691,Pharmacy,0
synthetic_170,1016.4271,Coffee Shop,0
synthetic_171,670.06575,Coffee Shop,0
synthetic_172,4418.19061,Home Improvement,0
synthetic_173,2800.14246,Grocery,0
synthetic_174,2477.17406,Travel,0
synthetic_175,4677.23165,Coffee Shop,0
synthetic_176,2583.28863,Entertainment,0
synthetic_177,412.96264,Electronics,0
synthetic_178,4678.49455,Coffee Shop,0
synthetic_179,4088.31252,Grocery,0
synthetic_180,4709.96538,Grocery,0
synthetic_181,519.253,Gas Station,0
synthetic_182,539.66954,Travel,0
synthetic_183,4604.95965,Grocery,0
synthetic_184,182.03753,Electronics,0
synthetic_185,1795.83179,Restaurant,0
synthetic_186,1856.63779,Gas Station,0
synthetic_187,3439.13627,Coffee Shop,0
synthetic_188,2848.52977,Grocery,0
synthetic_189,1498.07905,Coffee Shop,0
synthetic_190,3791.81047,Entertainment,1
synthetic_191,2196.88953,Travel,0
synthetic_192,4733.8916,Online Retail,0
synthetic_193,3046.03975,Entertainment,0
synthetic_194,1739.08949,Grocery,0
synthetic_195,3981.76488,Entertainment,1
synthetic_196,1002.42081,Online Retail,0
synthetic_197,1224.20513,Grocery,0
synthetic_198,3011.69608,Online Retail,0
synthetic_199,2272.47367,Electronics,0
synthetic_200,3334.39809,Home Improvement,0
synthetic_201,4748.16327,Coffee Shop,0
synthetic_202,4607.2016,Entertainment,0
synthetic_203,2648.9577,Online Retail,0
synthetic_204,3814.19107,Entertainment,0
synthetic_205,2762.25473,Coffee Shop,1
synthetic_206,3903.73738,Coffee Shop,0
synthetic_207,819.90877,Coffee Shop,0
synthetic_208,4903.50168,Home Improvement,0
synthetic_209,4867.41667,Coffee Shop,0
synthetic_210,3293.32326,Gas Station,0
synthetic_211,1459.1844,Coffee Shop,0
synthetic_212,4998.77002,Coffee Shop,0
synthetic_213,3065.69914,Coffee Shop,0
synthetic_214,4364.54271,Electronics,0
synthetic_215,760.23764,Restaurant,0
synthetic_216,3071.06344,Electronics,0
synthetic_217,4783.14464,Coffee Shop,0
synthetic_218,4160.8216,Entertainment,0
synthetic_219,1771.20773,Electronics,0
synthetic_220,2078.80949,Coffee Shop,0
synthetic_221,4086.63326,Gas Station,0
synthetic_222,4840.13727,Home Improvement,0
synthetic_223,4958.27928,Home Improvement,0
synthetic_224,4402.78546,Restaurant,0
synthetic_225,3437.59255,Coffee Shop,0
synthetic_226,4647.53084,Home Improvement,0
synthetic_227,2753.85954,Entertainment,0
synthetic_228,3688.27851,Home Improvement,0
synthetic_229,4791.17515,Electronics,0
synthetic_230,1826.09666,Electronics,0
synthetic_231,1641.22659,Gas Station,0
synthetic_232,4160.42559,Coffee Shop,0
synthetic_233,2872.50013,Electronics,0
synthetic_234,3356.65912,Travel,0
synthetic_235,4998.77002,Pharmacy,0
synthetic_236,1676.14386,Coffee Shop,0
synthetic_237,4595.50267,Pharmacy,0
synthetic_238,4843.96824,Pharmacy,0
synthetic_239,3382.19532,Entertainment,0
synthetic_240,4746.16668,Home Improvement,0
synthetic_241,1104.5383,Grocery,0
synthetic_242,1820.67025,Gas Station,0
synthetic_243,4167.40734,Electronics,0
synthetic_244,2200.04384,Coffee Shop,0
synthetic_245,4268.16193,Online Retail,0
synthetic_246,4998.77002,Travel,0
synthetic_247,2449.00887,Coffee Shop,0
synthetic_248,2348.89048,Coffee Shop,0
synthetic_249,4181.11649,Home Improvement,0
synthetic_250,2554.20947,Coffee Shop,1
synthetic_251,1568.97608,Gas Station,0
synthetic_252,2835.74161,Coffee Shop,0
synthetic_253,3216.06102,Coffee Shop,0
synthetic_254,3572.16138,Gas Station,0
synthetic_255,1567.50905,Gas Station,0
synthetic_256,4532.21125,Coffee Shop,0
synthetic_257,4182.58766,Gas Station,0
synthetic_258,3763.64666,Coffee Shop,0
synthetic_259,2366.16588,Coffee Shop,0
synthetic_260,2357.38028,Coffee Shop,1
synthetic_261,4104.35628,Pharmacy,0
synthetic_262,714.38609,Gas Station,0
synthetic_263,2929.29212,Coffee Shop,1
synthetic_264,4097.58004,Coffee Shop,0
synthetic_265,3371.74134,Entertainment,1
synthetic_266,1825.45581,Coffee Shop,0
synthetic_267,3578.68311,Grocery,0
synthetic_268,4722.19387,Electronics,0
synthetic_269,3963.19843,Grocery,0
synthetic_270,3810.27279,Coffee Shop,0
synthetic_271,3175.61332,Coffee Shop,0
synthetic_272,1450.84969,Coffee Shop,0
synthetic_273,4204.27193,Coffee Shop,1
synthetic_274,1314.21042,Electronics,0
synthetic_275,3570.62542,Online Retail,1
synthetic_276,520.93847,Pharmacy,0
synthetic_277,3626.81129,Coffee Shop,0
synthetic_278,3775.52057,Gas Station,0
synthetic_279,2322.40146,Gas Station,0
synthetic_280,3543.47561,Coffee Shop,0
synthetic_281,4998.77002,Coffee Shop,0
synthetic_282,2735.21313,Pharmacy,0
synthetic_283,2603.74485,Grocery,0
synthetic_284,1245.60599,Online Retail,0
synthetic_285,4241.75822,Entertainment,1
synthetic_286,4112.70843,Coffee Shop,0
synthetic_287,4914.3584,Home Improvement,0
synthetic_288,2060.19058,Grocery,0
synthetic_289,3951.6189,Home Improvement,0
synthetic_290,899.34438,Pharmacy,0
synthetic_291,312.72725,Travel,0
synthetic_292,391.78359,Grocery,0
synthetic_293,2930.92488,Grocery,0
synthetic_294,1331.45289,Online Retail,0
synthetic_295,2644.39965,Coffee Shop,0
synthetic_296,3822.00935,Electronics,0
synthetic_297,874.48707,Electronics,0
synthetic_298,3054.91019,Coffee Shop,0
synthetic_299,3797.52156,Entertainment,0
synthetic_300,4789.0369,Coffee Shop,0
synthetic_301,3223.30806,Coffee Shop,1
synthetic_302,300.95049,Online Retail,0
synthetic_303,3091.3318,Gas Station,0
synthetic_304,3591.09727,Electronics,1
synthetic_305,2122.05078,Electronics,0
synthetic_306,1927.03265,Home Improvement,0
synthetic_307,3454.49191,Entertainment,0
synthetic_308,1917.8957,Gas Station,0
synthetic_309,2833.90709,Online Retail,0
synthetic_310,1991.64067,Pharmacy,0
synthetic_311,2746.7534,Coffee Shop,1
synthetic_312,4844.43706,Online Retail,0
synthetic_313,2313.1292,Entertainment,1
synthetic_314,4548.50555,Online Retail,0
synthetic_315,4397.4533,Coffee Shop,0
synthetic_316,1815.09841,Gas Station,0
synthetic_317,3225.21923,Gas Station,1
synthetic_318,4304.37877,Home Improvement,0
synthetic_319,1555.26494,Grocery,0
synthetic_320,3051.72698,Coffee Shop,0
synthetic_321,2345.86394,Coffee Shop,0
synthetic_322,2015.39198,Pharmacy,0
synthetic_323,2066.3405,Electronics,0
synthetic_324,1010.86786,Grocery,0
synthetic_325,4710.0413,Pharmacy,0
synthetic_326,1487.04927,Entertainment,0
synthetic_327,3687.18531,Coffee Shop,0
synthetic_328,1841.06475,Gas Station,0
synthetic_329,2924.8508,Online Retail,0
synthetic_330,4301.84676,Coffee Shop,0
synthetic_331,2678.71272,Restaurant,1
synthetic_332,2729.25767,Electronics,0
synthetic_333,654.49616,Coffee Shop,0
synthetic_334,3602.75005,Restaurant,0
synthetic_335,4006.20013,Coffee Shop,0
synthetic_336,4567.17968,Travel,0
synthetic_337,937.98555,Pharmacy,0
synthetic_338,4255.94482,Coffee Shop,0
synthetic_339,4614.23512,Pharmacy,0
synthetic_340,3539.93754,Coffee Shop,0
synthetic_341,3984.1975,Gas Station,0
synthetic_342,4058.6426,Restaurant,0
synthetic_343,3493.56282,Grocery,0
synthetic_344,1967.47318,Coffee Shop,1
synthetic_345,4576.42822,Pharmacy,0
synthetic_346,1811.37447,Entertainment,0
synthetic_347,2289.23268,Electronics,0
synthetic_348,2741.28225,Pharmacy,0
synthetic_349,2784.55048,Entertainment,0
synthetic_350,1899.96881,Coffee Shop,0
synthetic_351,2706.982,Electronics,0
synthetic_352,4998.77002,Gas Station,0
synthetic_353,4634.80902,Travel,0
synthetic_354,3727.54354,Coffee Shop,0
synthetic_355,2583.3355,Entertainment,0
synthetic_356,1096.49277,Coffee Shop,1
synthetic_357,4521.30069,Gas Station,0
synthetic_358,4697.67701,Pharmacy,0
synthetic_359,4798.54065,Coffee Shop,0
synthetic_360,486.32877,Gas Station,0
synthetic_361,1721.80017,Restaurant,0
synthetic_362,2579.21119,Online Retail,0
synthetic_363,4934.21329,Home Improvement,0
synthetic_364,3259.88976,Coffee Shop,0
synthetic_365,3051.6322,Travel,0
synthetic_366,4133.99773,Restaurant,0
synthetic_367,2526.22902,Home Improvement,0
synthetic_368,1284.33008,Coffee Shop,0
synthetic_369,940.06703,Pharmacy,1
synthetic_370,610.40256,Coffee Shop,0
synthetic_371,2720.66814,Home Improvement,1
synthetic_372,2419.09111,Entertainment,0
synthetic_373,3234.96869,Electronics,0
synthetic_374,3189.88667,Online Retail,0
synthetic_375,3157.28089,Entertainment,1
synthetic_376,1115.93061,Restaurant,0
synthetic_377,1725.02523,Coffee Shop,0
synthetic_378,406.53599,Electronics,0
synthetic_379,3677.21887,Coffee Shop,0
synthetic_380,4050.75496,Coffee Shop,1
synthetic_381,1729.66719,Coffee Shop,0
synthetic_382,4522.24403,Pharmacy,0
synthetic_383,4326.15277,Coffee Shop,0
synthetic_384,3318.24709,Restaurant,0
synthetic_385,2811.90242,Gas Station,0
synthetic_386,1972.16371,Coffee Shop,0
synthetic_387,558.74761,Online Retail,0
synthetic_388,3134.66385,Entertainment,0
synthetic_389,4173.53789,Electronics,0
synthetic_390,4927.28003,Pharmacy,0
synthetic_391,4574.87044,Electronics,0
synthetic_392,3049.72651,Coffee Shop,0
synthetic_393,3767.90194,Restaurant,0
synthetic_394,4273.18592,Entertainment,0
synthetic_395,3908.99784,Coffee Shop,0
synthetic_396,4116.48401,Grocery,0
synthetic_397,3692.63084,Home Improvement,0
synthetic_398,2724.02653,Online Retail,0
synthetic_399,4364.68679,Home Improvement,0
synthetic_400,4041.27313,Restaurant,0
synthetic_401,2951.59663,Online Retail,0
synthetic_402,4534.21525,Grocery,0
synthetic_403,2432.76647,Pharmacy,0
synthetic_404,3934.36745,Grocery,0
synthetic_405,514.5893,Online Retail,0
synthetic_406,3547.09443,Gas Station,0
synthetic_407,4339.0423,Entertainment,0
synthetic_408,4559.5343,Pharmacy,0
synthetic_409,398.58865,Gas Station,0
synthetic_410,671.05292,Pharmacy,0
synthetic_411,3957.26545,Coffee Shop,0
synthetic_412,4133.53857,Pharmacy,0
synthetic_413,3689.73889,Travel,0
synthetic_414,4998.77002,Travel,0
synthetic_415,4039.57489,Coffee Shop,0
synthetic_416,3116.49396,Coffee Shop,0
synthetic_417,2774.33563,Electronics,0
synthetic_418,4697.3483,Travel,0
synthetic_419,4955.89497,Coffee Shop,0
synthetic_420,1993.91472,Electronics,0
synthetic_421,3552.54237,Entertainment,0
synthetic_422,3524.02233,Entertainment,0
synthetic_423,4367.66467,Restaurant,1
synthetic_424,3902.52659,Travel,0
synthetic_425,2978.31511,Electronics,0
synthetic_426,2230.72428,Entertainment,1
synthetic_427,3114.00341,Entertainment,0
synthetic_428,2425.12391,Grocery,0
synthetic_429,713.75438,Online Retail,0
synthetic_430,2135.73793,Restaurant,0
synthetic_431,1543.85796,Grocery,0
synthetic_432,3505.49254,Home Improvement,0
synthetic_433,441.12705,Gas Station,0
synthetic_434,1601.21321,Travel,0
synthetic_435,690.94905,Coffee Shop,0
synthetic_436,4571.51536,Coffee Shop,0
synthetic_437,3395.27044,Gas Station,0
synthetic_438,3697.66949,Coffee Shop,0
synthetic_439,1563.46024,Coffee Shop,0
synthetic_440,1154.32762,Entertainment,1
synthetic_441,4400.03293,Online Retail,0
synthetic_442,2128.78879,Online Retail,0
synthetic_443,4143.22747,Travel,0
synthetic_444,4876.23315,Travel,0
synthetic_445,2344.06897,Pharmacy,0
synthetic_446,3501.67693,Coffee Shop,0
synthetic_447,2613.79841,Home Improvement,0
synthetic_448,2015.25622,Coffee Shop,0
synthetic_449,4890.6646,Coffee Shop,0
synthetic_450,4472.74545,Pharmacy,0
synthetic_451,1753.61118,Coffee Shop,0
synthetic_452,4685.92527,Pharmacy,0
synthetic_453,2486.4058,Home Improvement,0
synthetic_454,2583.29257,Online Retail,0
synthetic_455,2257.94745,Electronics,0
synthetic_456,2395.77535,Coffee Shop,0
synthetic_457,2998.33474,Coffee Shop,0
synthetic_458,2176.80844,Restaurant,0
synthetic_459,2215.65741,Pharmacy,0
synthetic_460,3397.21362,Coffee Shop,0
synthetic_461,630.98596,Gas Station,0
synthetic_462,4918.65474,Coffee Shop,0
synthetic_463,1162.12252,Grocery,0
synthetic_464,3906.98901,Electronics,0
synthetic_465,4502.77841,Coffee Shop,0
synthetic_466,1273.97945,Electronics,0
synthetic_467,4676.40133,Travel,0
synthetic_468,1040.1089,Coffee Shop,0
synthetic_469,2535.41643,Coffee Shop,0
synthetic_470,3264.20723,Entertainment,0
synthetic_471,2811.482,Coffee Shop,0
synthetic_472,3514.68069,Home Improvement,0
synthetic_473,1675.6772,Coffee Shop,0
synthetic_474,2893.55834,Electronics,0
synthetic_475,4998.77002,Entertainment,0
synthetic_476,3695.86073,Restaurant,0
synthetic_477,3887.05621,Grocery,0
synthetic_478,4654.91084,Gas Station,0
synthetic_479,2918.49671,Restaurant,0
synthetic_480,3044.27857,Coffee Shop,0
synthetic_481,4054.41683,Pharmacy,0
synthetic_482,4693.95906,Home Improvement,0
synthetic_483,4633.53767,Electronics,0
synthetic_484,2078.31306,Gas Station,0
synthetic_485,965.97,Travel,0
synthetic_486,3703.50636,Coffee Shop,0
synthetic_487,1819.27832,Coffee Shop,0
synthetic_488,1115.3002,Electronics,0
synthetic_489,3362.60237,Coffee Shop,0
synthetic_490,2950.25651,Travel,0
synthetic_491,3430.0702,Electronics,0
synthetic_492,3973.03468,Electronics,0
synthetic_493,2683.50618,Coffee Shop,0
synthetic_494,582.0278,Gas Station,0
synthetic_495,3932.66576,Online Retail,0
synthetic_496,2945.49476,Coffee Shop,0
synthetic_497,4680.03508,Coffee Shop,0
synthetic_498,3052.39872,Coffee Shop,0
synthetic_499,2254.32596,Electronics,0
synthetic_500,4550.85915,Coffee Shop,0
synthetic_501,4004.71188,Gas Station,0
synthetic_502,4994.57928,Electronics,0
synthetic_503,4034.97848,Coffee Shop,1
synthetic_504,1240.75248,Travel,0
synthetic_505,4049.47412,Coffee Shop,0
synthetic_506,1969.57243,Entertainment,0
synthetic_507,556.02459,Online Retail,0
synthetic_508,3145.73906,Coffee Shop,0
synthetic_509,1168.16541,Travel,0
synthetic_510,2723.02391,Grocery,1
synthetic_511,2747.87522,Electronics,0
synthetic_512,3319.56089,Entertainment,0
synthetic_513,3663.61307,Electronics,0
synthetic_514,959.66638,Gas Station,0
synthetic_515,4586.97159,Travel,0
synthetic_516,1646.62139,Entertainment,1
synthetic_517,4139.00463,Coffee Shop,0
synthetic_518,3020.9375,Coffee Shop,0
synthetic_519,1054.21915,Electronics,0
synthetic_520,3791.76164,Coffee Shop,0
synthetic_521,3901.02195,Coffee Shop,0
synthetic_522,3697.39022,Gas Station,0
synthetic_523,3606.78661,Coffee Shop,1
synthetic_524,1384.22381,Coffee Shop,0
synthetic_525,1077.39003,Coffee Shop,0
synthetic_526,1478.49567,Online Retail,0
synthetic_527,665.93127,Gas Station,0
synthetic_528,3197.68152,Pharmacy,0
synthetic_529,3818.98902,Gas Station,0
synthetic_530,2956.38418,Coffee Shop,0
synthetic_531,2954.55436,Gas Station,0
synthetic_532,2493.06551,Entertainment,0
synthetic_533,4958.54915,Coffee Shop,0
synthetic_534,3088.07763,Coffee Shop,0
synthetic_535,1177.88804,Electronics,0
synthetic_536,2438.91488,Grocery,0
synthetic_537,4658.06109,Home Improvement,0
synthetic_538,4992.03554,Travel,0
synthetic_539,3076.79704,Entertainment,0
synthetic_540,916.83584,Coffee Shop,0
synthetic_541,3750.79681,Electronics,0
synthetic_542,3091.08411,Travel,0
synthetic_543,800.10306,Online Retail,0
synthetic_544,4148.16017,Coffee Shop,0
synthetic_545,2057.67751,Coffee Shop,0
synthetic_546,1031.04853,Entertainment,0
synthetic_547,3914.85594,Travel,0
synthetic_548,1122.06384,Grocery,0
synthetic_549,491.24871,Online Retail,0
synthetic_550,1078.59314,Gas Station,0
synthetic_551,3004.14862,Electronics,0
synthetic_552,2297.40901,Grocery,0
synthetic_553,4888.72927,Home Improvement,0
synthetic_554,3710.62408,Electronics,0
synthetic_555,3653.20508,Electronics,0
synthetic_556,891.49557,Coffee Shop,0
synthetic_557,3290.88504,Home Improvement,0
synthetic_558,718.58701,Coffee Shop,0
synthetic_559,2602.90534,Electronics,0
synthetic_560,4036.01586,Entertainment,0
synthetic_561,4260.9293,Online Retail,0
synthetic_562,4726.01897,Grocery,0
synthetic_563,2038.66932,Pharmacy,0
synthetic_564,4966.94339,Pharmacy,0
synthetic_565,2984.35046,Grocery,0
synthetic_566,716.3259,Entertainment,0
synthetic_567,1763.47366,Coffee Shop,0
synthetic_568,2715.45465,Home Improvement,0
synthetic_569,2018.98077,Gas Station,0
synthetic_570,2586.24989,Travel,0
synthetic_571,1888.74447,Grocery,1
synthetic_572,2179.77776,Electronics,0
synthetic_573,2257.60796,Online Retail,0
synthetic_574,1825.83102,Coffee Shop,0
synthetic_575,4775.52428,Electronics,0
synthetic_576,3972.02077,Gas Station,0
synthetic_577,3617.25207,Coffee Shop,0
synthetic_578,3091.0892,Coffee Shop,0
synthetic_579,1879.55947,Coffee Shop,0
synthetic_580,3072.4746,Coffee Shop,0
synthetic_581,2518.64901,Gas Station,0
synthetic_582,1161.28435,Coffee Shop,1
synthetic_583,2169.9392,Online Retail,0
synthetic_584,4516.476,Online Retail,0
synthetic_585,1908.80703,Coffee Shop,0
synthetic_586,1126.22067,Coffee Shop,1
synthetic_587,2853.47693,Coffee Shop,0
synthetic_588,4998.77002,Online Retail,0
synthetic_589,1603.14086,Coffee Shop,0
synthetic_590,4998.77002,Electronics,0
synthetic_591,4354.05749,Entertainment,0
synthetic_592,4320.42011,Coffee Shop,0
synthetic_593,1596.65554,Restaurant,0
synthetic_594,2700.66865,Travel,0
synthetic_595,872.93015,Coffee Shop,0
synthetic_596,4216.13203,Entertainment,0
synthetic_597,465.85322,Entertainment,1
synthetic_598,4557.78706,Gas Station,0
synthetic_599,3778.40855,Online Retail,0
synthetic_600,2157.77571,Grocery,0
synthetic_601,4806.30819,Pharmacy,0
synthetic_602,4842.28121,Grocery,0
synthetic_603,3066.97343,Entertainment,0
synthetic_604,3901.75675,Electronics,0
synthetic_605,1287.2096,Travel,0
synthetic_606,2624.32356,Home Improvement,0
synthetic_607,3487.8205,Electronics,0
synthetic_608,1981.97434,Online Retail,0
synthetic_609,4726.1389,Gas Station,0
synthetic_610,2101.94905,Coffee Shop,0
synthetic_611,4108.60224,Coffee Shop,0
synthetic_612,475.98971,Coffee Shop,1
synthetic_613,3762.21311,Coffee Shop,0
synthetic_614,4141.98665,Gas Station,0
synthetic_615,3545.80953,Online Retail,0
synthetic_616,4949.80342,Travel,0
synthetic_617,1034.47055,Coffee Shop,0
synthetic_618,2697.36344,Electronics,0
synthetic_619,3953.46623,Home Improvement,0
synthetic_620,4132.79574,Coffee Shop,0
synthetic_621,3826.38402,Restaurant,1
synthetic_622,1263.19477,Pharmacy,0
synthetic_623,1440.34713,Electronics,0
synthetic_624,1282.64046,Online Retail,0
synthetic_625,1094.6954,Electronics,0
synthetic_626,3751.07393,Coffee Shop,0
synthetic_627,870.2268,Coffee Shop,0
synthetic_628,3804.45835,Entertainment,0
synthetic_629,1599.9491,Home Improvement,0
synthetic_630,3039.10433,Coffee Shop,0
synthetic_631,561.84438,Gas Station,0
synthetic_632,2101.19686,Restaurant,0
synthetic_633,3173.50816,Coffee Shop,1
synthetic_634,4656.45741,Entertainment,0
synthetic_635,4006.40443,Travel,0
synthetic_636,1974.32521,Coffee Shop,0
synthetic_637,4920.03773,Grocery,0
synthetic_638,2797.77405,Entertainment,0
synthetic_639,2472.82229,Pharmacy,0
synthetic_640,3060.48082,Restaurant,0
synthetic_641,3343.62774,Coffee Shop,0
synthetic_642,881.58339,Coffee Shop,0
synthetic_643,2889.87922,Coffee Shop,0
synthetic_644,1882.85601,Entertainment,1
synthetic_645,2660.73479,Restaurant,1
synthetic_646,4776.60031,Coffee Shop,0
synthetic_647,1974.91033,Grocery,0
synthetic_648,1808.09635,Restaurant,0
synthetic_649,4925.04239,Home Improvement,0
synthetic_650,1558.24058,Grocery,0
synthetic_651,1326.42942,Entertainment,0
synthetic_652,4585.10908,Electronics,0
synthetic_653,3805.99319,Online Retail,0
synthetic_654,2841.36146,Coffee Shop,0
synthetic_655,3154.52426,Coffee Shop,0
