transaction_id,amount,merchant_category,transaction_type,customer_age,is_fraud,transaction_date,merchant_code,transaction_address
63,3964.87,Pharmacy,ATM Withdrawal,29,0,2024-04-08,108,"4086 Elm Pl, Greenville, IL"
64,2128.09,Pharmacy,Contactless,60,0,2024-07-18,108,"4538 Elm Blvd, Riverton, NY"
65,598.65,Travel,Contactless,41,0,2024-09-18,104,"4630 Main Ln, Greenville, FL"
66,1481.94,Electronics,Online,64,0,2022-01-29,102,"8851 Pine Blvd, Springfield, CA"
67,3487.39,Entertainment,Contactless,34,0,2024-10-02,109,"1780 Maple Ln, Fairview, GA"
68,1704.19,Pharmacy,ATM Withdrawal,24,0,2024-09-05,108,"1969 Oak Rd, Lakeside, NY"
69,759.48,Home Improvement,Card Present,56,0,2023-05-24,110,"2040 Center Rd, Greenville, WA"
70,2253.12,Entertainment,ATM Withdrawal,74,0,2024-05-28,109,"5103 Main Ln, Springfield, NY"
71,1323.97,Travel,Online,28,0,2022-12-22,104,"9143 Oak Ave, Springfield, CO"
72,1457.01,Pharmacy,ATM Withdrawal,47,0,2023-08-03,108,"7538 Oak Pl, Riverton, FL"
73,2126.27,Home Improvement,Online,46,0,2023-06-29,110,"2430 Oak St, Riverton, FL"
74,2196.33,Home Improvement,Contactless,77,0,2024-04-04,110,"4560 Center Ln, Lakeside, GA"
75,4447.23,Electronics,Card Present,59,0,2022-02-22,102,"1596 Cedar Pl, Greenville, CA"
76,3815.78,Coffee Shop,Card Present,40,0,2024-06-24,105,"4657 Pine Ln, Lakeside, GA"
77,1740.46,Electronics,ATM Withdrawal,60,0,2022-08-03,102,"2734 Willow Rd, Hillcrest, GA"
78,4068.02,Coffee Shop,ATM Withdrawal,22,0,2023-10-07,105,"4235 Willow St, Lakeside, CA"
79,2066.82,Entertainment,ATM Withdrawal,42,0,2024-10-17,109,"7342 Maple Ave, Fairview, TX"
80,4404.35,Coffee Shop,ATM Withdrawal,80,0,2023-05-06,105,"2694 Elm Ln, Springfield, CO"
81,4961.29,Electronics,Online,32,0,2022-08-29,102,"2622 Lakeview Pl, Fairview, FL"
82,4901.24,Gas Station,ATM Withdrawal,49,0,2022-10-24,107,"6384 Cedar Ln, Greenville, TX"
83,3863.60,Electronics,Contactless,71,0,2024-11-05,102,"4477 Maple Blvd, Hillcrest, FL"
84,4326.44,Home Improvement,ATM Withdrawal,75,0,2023-12-08,110,"5546 Center Ln, Lakeside, GA"
85,4903.89,Online Retail,Online,48,0,2023-04-24,106,"6830 Maple Blvd, Hillcrest, GA"
86,4942.08,Gas Station,ATM Withdrawal,37,0,2022-03-17,107,"2168 Center Ln, Fairview, NY"
87,2630.23,Pharmacy,Card Present,76,1,2022-10-23,108,"6817 Pine St, Lakeside, FL"
88,3249.53,Online Retail,ATM Withdrawal,60,0,2024-12-28,106,"6326 Willow Pl, Hillcrest, GA"
89,3087.68,Entertainment,Card Present,48,0,2023-08-12,109,"3827 Oak Rd, Springfield, NY"
90,3470.31,Pharmacy,Online,21,1,2022-04-25,108,"4906 Willow Blvd, Lakeside, TX"
91,2830.07,Travel,ATM Withdrawal,41,0,2022-06-11,104,"6367 Main Pl, Riverton, GA"
92,1161.71,Home Improvement,Online,50,0,2022-01-20,110,"7722 Elm Pl, Greenville, TX"
93,4726.23,Electronics,ATM Withdrawal,56,0,2024-05-18,102,"4197 Lakeview Blvd, Riverton, CO"
94,1186.79,Pharmacy,Card Present,63,0,2023-08-28,108,"459 Sunset Blvd, Springfield, CA"
95,4164.36,Home Improvement,ATM Withdrawal,54,0,2023-04-17,110,"5872 Cedar Pl, Riverton, FL"
96,4517.12,Restaurant,Card Present,23,0,2024-06-21,103,"646 Main Blvd, Hillcrest, TX"
97,1634.27,Electronics,Contactless,71,0,2022-09-28,102,"8937 Willow Ln, Greenville, FL"
98,4570.33,Restaurant,Contactless,79,0,2023-08-28,103,"5649 Oak Rd, Springfield, TX"
99,4836.38,Travel,ATM Withdrawal,64,0,2024-03-19,104,"328 Elm Ln, Springfield, GA"
100,2923.22,Online Retail,Contactless,65,0,2023-04-24,106,"7824 Maple Ln, Greenville, IL"
101,3238.61,Home Improvement,Online,77,0,2023-09-11,110,"6789 Oak Ave, Springfield, CA"
102,581.49,Coffee Shop,ATM Withdrawal,48,0,2022-10-05,105,"6467 Lakeview Blvd, Hillcrest, CO"
103,4427.18,Home Improvement,Online,30,0,2024-04-15,110,"4683 Maple Pl, Fairview, WA"
104,4752.83,Pharmacy,ATM Withdrawal,64,0,2024-01-23,108,"9020 Willow St, Lakeside, FL"
105,4745.10,Travel,Card Present,76,0,2023-03-11,104,"9883 Maple St, Fairview, WA"
106,343.98,Restaurant,Online,44,0,2023-04-23,103,"5483 Pine Ln, Springfield, FL"
107,2701.54,Restaurant,Online,40,0,2022-02-22,103,"2259 Maple Blvd, Riverton, IL"
108,1327.57,Grocery,Online,34,0,2024-12-13,101,"1962 Oak Rd, Lakeside, IL"
109,2260.58,Entertainment,Card Present,46,0,2022-03-30,109,"8643 Elm Rd, Hillcrest, CA"
110,4236.65,Grocery,ATM Withdrawal,72,0,2024-10-01,101,"7367 Oak St, Fairview, TX"
111,1375.80,Electronics,Online,59,0,2024-12-22,102,"4931 Lakeview Ln, Greenville, CO"
112,4264.11,Electronics,Card Present,45,0,2023-04-13,102,"6879 Willow Rd, Lakeside, CO"
113,2134.39,Electronics,Contactless,50,0,2022-11-09,102,"7870 Oak St, Springfield, NY"
114,3723.20,Gas Station,Card Present,65,0,2022-05-03,107,"9708 Center Ln, Fairview, NY"
115,4368.16,Gas Station,Contactless,72,0,2022-04-16,107,"4812 Main Blvd, Fairview, NY"
116,774.50,Home Improvement,Online,79,0,2022-08-10,110,"5836 Center Blvd, Springfield, FL"
117,4036.30,Home Improvement,Online,21,0,2023-07-02,110,"574 Pine Blvd, Hillcrest, FL"
118,31.52,Online Retail,Contactless,36,0,2024-03-31,106,"1240 Pine Pl, Hillcrest, CA"
119,1881.60,Electronics,Online,76,0,2024-01-28,102,"5205 Willow Ln, Greenville, NY"
120,787.89,Grocery,Online,24,0,2023-07-12,101,"7359 Sunset Rd, Greenville, GA"
121,1078.63,Gas Station,Contactless,83,0,2024-05-30,107,"1916 Elm Pl, Hillcrest, GA"
122,228.04,Entertainment,Contactless,68,0,2022-04-23,109,"225 Cedar Blvd, Riverton, TX"
123,1641.28,Coffee Shop,Contactless,18,0,2024-05-31,105,"2978 Pine Rd, Greenville, WA"
124,361.31,Entertainment,Contactless,23,0,2024-07-30,109,"1375 Willow Ln, Lakeside, CO"
125,576.75,Gas Station,Contactless,20,0,2022-12-18,107,"7638 Willow St, Lakeside, NY"
126,2944.77,Travel,ATM Withdrawal,85,0,2023-09-28,104,"5662 Cedar Blvd, Riverton, NY"
127,2653.49,Entertainment,Card Present,42,0,2023-12-17,109,"5852 Pine Ave, Springfield, TX"
128,868.32,Coffee Shop,Online,37,0,2022-06-04,105,"3002 Lakeview Rd, Greenville, GA"
129,4321.37,Home Improvement,Contactless,58,0,2022-05-20,110,"7782 Lakeview Pl, Fairview, FL"
130,1760.36,Home Improvement,Card Present,27,0,2024-07-14,110,"716 Maple Blvd, Fairview, NY"
131,2314.10,Electronics,ATM Withdrawal,23,0,2023-01-21,102,"5367 Main Rd, Greenville, TX"
132,518.41,Grocery,ATM Withdrawal,61,0,2022-06-22,101,"8366 Pine St, Riverton, GA"
133,1820.13,Pharmacy,Online,54,0,2023-11-24,108,"9895 Maple Pl, Hillcrest, IL"
134,473.44,Electronics,Contactless,67,0,2022-11-04,102,"5561 Oak Ln, Hillcrest, TX"
135,4838.51,Online Retail,Contactless,68,0,2022-06-23,106,"5172 Center Rd, Hillcrest, IL"
136,3230.48,Restaurant,Card Present,72,0,2022-02-07,103,"6040 Elm Ave, Riverton, IL"
137,1133.49,Pharmacy,Online,35,0,2023-08-29,108,"1757 Center Ln, Hillcrest, CA"
138,2986.63,Online Retail,Online,37,0,2022-12-06,106,"7270 Maple Rd, Fairview, WA"
139,3762.20,Pharmacy,Contactless,75,0,2023-05-05,108,"5170 Lakeview Ave, Fairview, GA"
140,3890.84,Pharmacy,Contactless,82,0,2022-11-28,108,"3371 Main Ave, Fairview, CA"
141,2773.15,Pharmacy,Contactless,31,0,2024-11-22,108,"2142 Elm St, Riverton, FL"
142,4155.40,Pharmacy,Online,29,0,2023-03-31,108,"7491 Willow St, Lakeside, CA"
143,1179.65,Gas Station,Contactless,28,0,2022-02-27,107,"5321 Oak Pl, Hillcrest, IL"
144,192.48,Restaurant,Online,78,0,2022-10-12,103,"7785 Lakeview Ln, Springfield, NY"
145,1079.06,Grocery,Contactless,37,0,2024-12-16,101,"7034 Oak Blvd, Riverton, FL"
146,1192.96,Electronics,Card Present,76,0,2024-10-20,102,"9876 Center St, Hillcrest, WA"
147,2146.77,Restaurant,Contactless,63,0,2024-05-03,103,"3168 Oak Ln, Fairview, NY"
148,1952.88,Entertainment,Card Present,78,1,2024-03-03,109,"6216 Elm Pl, Springfield, IL"
149,1206.39,Electronics,Contactless,31,0,2023-11-12,102,"2285 Maple Blvd, Greenville, IL"
150,4904.12,Restaurant,ATM Withdrawal,79,0,2022-10-04,103,"1133 Lakeview St, Fairview, WA"
151,4429.07,Grocery,Online,58,0,2024-11-21,101,"6624 Center Rd, Fairview, CA"
152,1785.51,Travel,Contactless,24,0,2023-11-11,104,"4576 Oak Blvd, Lakeside, CO"
153,1695.84,Pharmacy,ATM Withdrawal,41,0,2024-10-15,108,"6118 Center Blvd, Springfield, CO"
154,3012.66,Electronics,ATM Withdrawal,41,0,2023-10-20,102,"1780 Oak Blvd, Hillcrest, FL"
155,3013.51,Coffee Shop,ATM Withdrawal,72,0,2024-06-28,105,"5859 Lakeview St, Hillcrest, IL"
156,1373.50,Home Improvement,ATM Withdrawal,25,0,2024-04-11,110,"6052 Center Pl, Hillcrest, TX"
157,4243.50,Grocery,Online,74,1,2022-05-18,101,"3966 Willow Blvd, Lakeside, CA"
158,3395.63,Home Improvement,Online,65,0,2022-06-07,110,"9503 Pine Ln, Fairview, CO"
159,1248.81,Online Retail,Contactless,32,1,2023-01-17,106,"8276 Center Rd, Greenville, NY"
160,3520.49,Coffee Shop,Contactless,45,0,2023-08-08,105,"8147 Cedar St, Riverton, NY"
161,4493.50,Pharmacy,Online,74,0,2023-10-17,108,"5792 Oak Ln, Greenville, FL"
162,3559.33,Coffee Shop,Online,40,0,2024-11-07,105,"3773 Oak Ave, Riverton, WA"
163,1805.12,Pharmacy,Card Present,65,0,2022-09-23,108,"1512 Oak Blvd, Lakeside, GA"
164,3846.05,Entertainment,ATM Withdrawal,27,0,2023-10-12,109,"1315 Lakeview Rd, Hillcrest, IL"
165,3839.14,Restaurant,Online,34,0,2022-04-24,103,"2134 Center Ave, Fairview, TX"
166,4673.75,Restaurant,Contactless,46,0,2024-11-28,103,"4753 Oak Blvd, Riverton, FL"
167,3072.53,Restaurant,Contactless,29,0,2022-12-12,103,"9796 Main Ave, Riverton, IL"
168,4126.36,Home Improvement,Card Present,21,0,2023-06-27,110,"3553 Main Rd, Greenville, CA"
169,3209.89,Pharmacy,Contactless,56,0,2024-04-11,108,"4973 Lakeview St, Hillcrest, CA"
170,2078.69,Restaurant,ATM Withdrawal,77,0,2022-10-22,103,"5221 Willow Pl, Fairview, CO"
171,2575.39,Restaurant,Contactless,31,0,2024-08-13,103,"2107 Elm Rd, Riverton, TX"
172,1451.77,Electronics,Card Present,67,0,2024-05-06,102,"4167 Pine Blvd, Greenville, IL"
173,2491.83,Travel,Online,83,0,2023-09-24,104,"8248 Maple St, Lakeside, GA"
174,2917.14,Travel,Online,24,0,2024-10-10,104,"9889 Lakeview Blvd, Greenville, CA"
175,670.54,Electronics,ATM Withdrawal,51,0,2024-04-05,102,"6095 Maple Rd, Springfield, WA"
176,368.59,Online Retail,Contactless,82,0,2023-07-27,106,"2046 Pine St, Lakeside, IL"
177,3775.07,Online Retail,Contactless,43,0,2024-04-02,106,"8293 Maple St, Springfield, TX"
178,2597.14,Online Retail,ATM Withdrawal,37,0,2024-11-21,106,"2390 Willow Ln, Fairview, TX"
179,2969.03,Gas Station,Contactless,82,0,2024-12-26,107,"8125 Main Blvd, Lakeside, CA"
180,3369.36,Online Retail,Contactless,71,0,2022-02-24,106,"9879 Lakeview Blvd, Hillcrest, WA"
181,853.39,Grocery,ATM Withdrawal,66,0,2023-05-12,101,"617 Main Pl, Springfield, WA"
182,1569.15,Grocery,ATM Withdrawal,37,0,2023-02-22,101,"6823 Center Ln, Lakeside, CA"
183,2804.87,Restaurant,Online,79,0,2023-10-05,103,"2937 Lakeview Ln, Fairview, IL"
184,962.13,Coffee Shop,ATM Withdrawal,49,0,2023-09-04,105,"3784 Elm Blvd, Hillcrest, WA"
185,2399.54,Pharmacy,Contactless,53,0,2024-02-17,108,"6564 Willow Ave, Fairview, CA"
186,1732.47,Coffee Shop,Card Present,74,0,2024-09-08,105,"3605 Cedar Ln, Fairview, FL"
187,3078.77,Restaurant,Card Present,48,0,2024-12-23,103,"3797 Cedar St, Springfield, CO"
188,503.62,Online Retail,ATM Withdrawal,35,1,2022-11-20,106,"6766 Lakeview Rd, Hillcrest, WA"
189,1427.79,Coffee Shop,Contactless,25,0,2022-07-03,105,"9506 Cedar Ln, Hillcrest, CA"
190,4411.34,Restaurant,ATM Withdrawal,40,0,2022-03-16,103,"6604 Lakeview Ave, Hillcrest, FL"
191,1492.66,Grocery,Card Present,31,0,2023-11-18,101,"4762 Lakeview Pl, Greenville, GA"
192,1364.91,Restaurant,ATM Withdrawal,32,0,2024-07-28,103,"4315 Pine St, Hillcrest, IL"
193,878.30,Coffee Shop,Online,69,0,2024-11-21,105,"5472 Oak Rd, Hillcrest, NY"
194,2387.79,Restaurant,Online,49,1,2024-02-25,103,"3958 Lakeview Blvd, Fairview, FL"
195,1308.50,Home Improvement,Card Present,64,0,2022-05-08,110,"2036 Lakeview Blvd, Riverton, CO"
196,3451.76,Entertainment,Contactless,55,0,2023-03-29,109,"3690 Pine Rd, Riverton, GA"
197,2079.81,Home Improvement,Contactless,78,0,2023-03-24,110,"4154 Main St, Greenville, GA"
198,391.44,Entertainment,Contactless,32,0,2024-11-01,109,"3412 Main Ln, Riverton, TX"
199,582.08,Online Retail,ATM Withdrawal,44,0,2024-09-28,106,"1589 Center Rd, Springfield, GA"
200,2284.54,Restaurant,ATM Withdrawal,25,0,2023-09-24,103,"456 Sunset Blvd, Springfield, WA"
201,227.40,Home Improvement,Card Present,62,0,2022-05-04,110,"1230 Lakeview St, Fairview, CO"
202,3829.37,Restaurant,Online,71,0,2024-02-23,103,"7448 Sunset Rd, Springfield, TX"
203,893.19,Online Retail,Card Present,68,0,2023-04-02,106,"156 Maple Blvd, Lakeside, CO"
204,4116.98,Entertainment,ATM Withdrawal,49,0,2022-11-14,109,"4616 Cedar Pl, Springfield, CA"
205,1204.09,Gas Station,Card Present,26,0,2022-03-10,107,"7414 Main Pl, Hillcrest, CA"
206,2011.92,Travel,Card Present,47,0,2022-04-26,104,"2395 Center Blvd, Riverton, IL"
207,1185.28,Home Improvement,Contactless,36,0,2024-12-03,110,"3721 Sunset Blvd, Fairview, CA"
208,3130.34,Entertainment,Online,72,0,2022-04-07,109,"5742 Sunset Ln, Fairview, CO"
209,1500.14,Gas Station,Online,41,0,2024-08-27,107,"4048 Cedar Blvd, Hillcrest, TX"
210,2812.37,Pharmacy,Card Present,71,0,2022-10-02,108,"6463 Cedar Blvd, Riverton, IL"
211,4235.82,Electronics,ATM Withdrawal,29,0,2023-01-26,102,"944 Elm Rd, Hillcrest, CA"
212,4023.45,Electronics,Online,45,0,2023-11-13,102,"5067 Maple Ave, Riverton, NY"
213,3478.44,Pharmacy,Online,44,0,2023-05-06,108,"9145 Willow Blvd, Lakeside, GA"
214,1542.80,Entertainment,Contactless,64,0,2024-10-15,109,"7735 Oak Pl, Lakeside, IL"
215,1565.30,Travel,Contactless,23,0,2023-03-30,104,"2490 Maple Blvd, Greenville, CO"
216,981.76,Coffee Shop,Online,47,0,2023-05-19,105,"8280 Center Pl, Hillcrest, IL"
217,4832.57,Coffee Shop,ATM Withdrawal,80,0,2023-12-23,105,"2873 Pine Pl, Greenville, GA"
218,2620.20,Restaurant,Card Present,27,0,2022-04-10,103,"204 Sunset Ave, Hillcrest, WA"
219,46.70,Electronics,Online,82,0,2022-05-04,102,"8016 Lakeview St, Springfield, CO"
220,2647.56,Grocery,Card Present,53,0,2023-08-11,101,"380 Center Pl, Hillcrest, CO"
221,4590.33,Restaurant,Card Present,85,0,2023-01-29,103,"8725 Elm Blvd, Fairview, CO"
222,4796.53,Electronics,Contactless,76,0,2023-04-08,102,"5014 Oak Pl, Hillcrest, CA"
223,1896.94,Electronics,ATM Withdrawal,78,0,2022-01-20,102,"2907 Oak Rd, Lakeside, IL"
224,4474.06,Home Improvement,Card Present,23,0,2024-08-31,110,"4541 Maple St, Hillcrest, FL"
225,897.59,Entertainment,Card Present,58,1,2023-03-01,109,"9717 Pine Pl, Lakeside, NY"
226,2820.23,Coffee Shop,Online,67,0,2023-11-11,105,"6388 Pine Pl, Hillcrest, NY"
227,269.43,Entertainment,Contactless,73,0,2022-06-05,109,"5680 Main Ln, Greenville, CO"
228,3170.98,Online Retail,Card Present,75,0,2023-12-30,106,"9160 Sunset Rd, Riverton, CO"
229,3990.48,Electronics,Contactless,27,0,2022-11-12,102,"6325 Pine Pl, Lakeside, IL"
230,458.51,Online Retail,Card Present,57,0,2023-07-07,106,"1774 Pine St, Riverton, CO"
231,517.36,Pharmacy,ATM Withdrawal,29,0,2022-07-10,108,"9880 Main Blvd, Lakeside, CA"
232,1939.61,Coffee Shop,ATM Withdrawal,28,0,2023-05-13,105,"9470 Center Ave, Hillcrest, CO"
233,1345.33,Restaurant,Online,52,0,2022-05-10,103,"2839 Sunset Blvd, Lakeside, FL"
234,1806.26,Pharmacy,Card Present,49,0,2024-10-12,108,"9828 Main Ave, Lakeside, NY"
235,34.83,Restaurant,Contactless,68,0,2024-02-18,103,"5499 Lakeview Blvd, Lakeside, TX"
236,3016.45,Coffee Shop,Contactless,43,0,2022-12-30,105,"6624 Willow Blvd, Hillcrest, GA"
237,1630.11,Home Improvement,Online,53,0,2024-03-15,110,"6080 Oak Ln, Riverton, TX"
238,4765.07,Entertainment,Card Present,77,0,2023-03-06,109,"7283 Elm Pl, Springfield, CO"
239,3167.05,Pharmacy,Online,48,0,2022-11-12,108,"7032 Sunset St, Lakeside, GA"
240,2672.30,Home Improvement,ATM Withdrawal,71,0,2024-01-07,110,"8896 Main Pl, Springfield, NY"
241,832.53,Travel,Contactless,23,0,2024-03-29,104,"5532 Sunset St, Springfield, NY"
242,2553.87,Coffee Shop,Online,84,0,2023-03-29,105,"7403 Willow Rd, Lakeside, TX"
243,2414.37,Online Retail,Card Present,55,0,2022-06-25,106,"2001 Pine Blvd, Fairview, IL"
244,2606.05,Pharmacy,Online,62,0,2024-06-16,108,"7512 Willow St, Fairview, CA"
245,4246.05,Electronics,Card Present,31,0,2022-12-03,102,"4096 Center Ave, Greenville, TX"
246,4792.35,Online Retail,ATM Withdrawal,47,0,2023-01-13,106,"3153 Sunset Rd, Springfield, WA"
247,1944.79,Pharmacy,ATM Withdrawal,45,0,2022-05-09,108,"9559 Oak Ln, Riverton, IL"
248,2288.29,Online Retail,Online,51,0,2024-09-29,106,"8746 Willow Ln, Lakeside, CO"
249,1740.28,Home Improvement,Card Present,76,0,2023-09-02,110,"9769 Oak Pl, Riverton, IL"
250,1527.59,Electronics,Online,41,0,2022-10-17,102,"8469 Sunset Rd, Greenville, TX"
251,2115.77,Home Improvement,ATM Withdrawal,80,0,2022-12-21,110,"9191 Pine Rd, Fairview, TX"
252,4210.08,Restaurant,Contactless,24,0,2022-01-20,103,"8039 Pine Ave, Lakeside, GA"
253,2078.74,Gas Station,ATM Withdrawal,74,0,2022-06-19,107,"9363 Maple Ave, Fairview, CA"
254,2688.51,Coffee Shop,Online,39,0,2024-10-11,105,"9106 Center St, Greenville, NY"
255,2710.67,Coffee Shop,Contactless,23,0,2024-06-22,105,"9051 Cedar Rd, Springfield, WA"
256,2249.21,Coffee Shop,Card Present,62,0,2022-06-28,105,"7293 Oak Ave, Riverton, IL"
257,830.74,Home Improvement,ATM Withdrawal,35,0,2023-02-28,110,"1072 Main Blvd, Greenville, FL"
258,1618.94,Home Improvement,Online,55,0,2023-07-02,110,"8528 Oak Ave, Lakeside, CA"
259,3507.43,Coffee Shop,Online,34,0,2023-10-22,105,"4155 Sunset Rd, Riverton, FL"
260,2260.51,Gas Station,ATM Withdrawal,29,0,2023-07-24,107,"6146 Lakeview Rd, Fairview, CA"
261,3174.57,Electronics,ATM Withdrawal,63,0,2024-12-30,102,"6616 Cedar Rd, Riverton, GA"
262,4141.89,Coffee Shop,Contactless,61,0,2022-09-25,105,"9375 Lakeview Blvd, Hillcrest, CA"
263,3131.27,Grocery,Card Present,76,1,2022-11-20,101,"7330 Lakeview St, Lakeside, WA"
264,795.73,Restaurant,Contactless,53,0,2024-01-09,103,"4202 Oak Blvd, Hillcrest, TX"
265,3128.40,Grocery,ATM Withdrawal,47,0,2022-07-06,101,"1659 Maple Ave, Lakeside, NY"
